From	To
Q9H2F3-2	NM_001142777.1
Q9H2F3-2	NM_001142778.1
Q9H2F3-2	XM_011545962.2
Q9H2F3-2	XM_017023732.1
P78314-3	NM_001145855.1
P78314-4	NM_001145856.1
O60239-2	NM_001018009.3
Q9Z131-2	NM_011894.3
Q9Z131-3	NM_001347585.1
P29372-4	NM_001015052.2
P29372-5	NM_001015054.2
Q42524-2	NM_179462.2
Q8IH18-2	NM_001272149.2
Q9NRA8-2	NM_001164502.1
Q9NRA8-3	XM_005261686.2
Q9NRA8-3	XM_005261687.2
Q9EST3-2	NM_001166548.1
Q9EST3-2	NM_001166549.1
Q9EST3-2	XM_006514844.2
Q9EST3-2	XM_017314806.1
P08195-2	NM_001013251.2
P08195-3	NM_001012664.2
P08195-5	NM_001012662.2
P10852-2	NM_001161413.1
Q8L539-2	NM_001036796.2
P28335-2	NM_001256761.2
P46098-2	NM_213621.3
P46098-3	NM_001161772.2
Q70Z44-4	NM_001145143.1
A5X5Y0-2	NM_198313.2
A5X5Y0-3	NM_182589.2
A5X5Y0-4	NM_198314.2
A5X5Y0-6	NM_001256614.1
Q13639-2	NM_001040169.2
Q13639-3	NM_001040172.2
Q13639-5	NM_199453.3
Q13639-8	NM_001040173.2
Q13639-9	NM_001286410.1
P97288-2	XM_006525680.3
P97288-3	XM_006525683.3
P34969-2	NM_000872.4
P34969-3	NM_019860.3
P32305-2	NM_022938.2
Q7L1Q6-2	NM_014670.3
Q7L1Q6-3	NM_001207068.2
Q7L1Q6-4	NM_001207069.1
Q96P26-2	NM_033253.3
Q96P26-4	NM_001199104.1
Q5ZID6-1	NM_204436.2
Q9H0P0-1	NM_001002009.2
Q9H0P0-1	NM_016489.12
Q9H0P0-3	NM_001166118.2
Q9D020-1	NM_001252374.1
Q9D020-1	XM_006505273.1
Q9D020-1	XM_011241111.1
Q3UFY7-2	NM_026561.4
Q09315-2	NM_065893.3
P21589-2	NM_001204813.1
P52209-2	NM_001304452.1
Q59E04-2	NM_138986.4
P05408-2	NM_003020.4
P16375-2	NM_169459.2
P36639-2	NM_198949.1
P36639-2	NM_198952.1
P36639-2	NM_198954.1
Q8IZ83-3	NM_001145396.1
Q676U5-2	NM_017974.3
Q676U5-5	NM_198890.2
Q8C0J2-3	NM_001205391.1
Q8NAA4-2	NM_001318766.1
Q8NAA4-2	XM_011545333.1
Q8NAA4-2	XM_011545334.1
Q9NQ94-2	NM_001198818.1
Q9NQ94-2	NM_014576.3
Q9NQ94-4	NM_001198820.1
Q9NQ94-4	NM_138933.2
Q923K9-2	NM_133400.1
P08697-2	NM_001165921.1
A8K2U0-2	NM_001282424.2
Q10651-2	NM_076470.4
P05067-3	NM_001204303.1
P05067-4	NM_201414.2
P05067-7	NM_001204302.1
P05067-8	NM_201413.2
P05067-9	NM_001204301.1
P05067-10	NM_001136129.2
P05067-11	NM_001136016.3
P28647-2	NM_001302750.1
Q9NRG9-2	NM_001173466.1
Q15758-2	NM_001145145.1
Q15758-3	NM_001145144.1
Q86V21-2	NM_001319839.1
Q9FIK7-2	NM_180819.3
Q9FIK7-2	NM_203171.2
Q8N5Z0-2	NM_001286682.1
Q6PD74-2	NM_001271885.1
Q6PD74-2	NM_001271886.1
Q3UHJ0-2	NM_177762.6
P54619-2	NM_001206710.1
P54619-2	XM_011538562.2
P54619-3	NM_001206709.1
Q9UGJ0-2	NM_001304531.1
Q9UGJ0-2	NM_024429.1
Q9UGJ0-3	NM_001040633.1
Q91WG5-2	NM_001170556.1
Q2LL38-2	NM_001162420.1
Q2LL38-3	NM_001162419.1
Q2LL38-4	NM_001162421.1
Q8R0P4-2	NM_001177947.1
Q9FF99-2	NM_001036857.1
Q13131-2	NM_206907.3
Q95ZQ4-2	NM_078310.5
Q95ZQ4-3	NM_001029697.3
Q9BTE6-2	NM_025267.3
Q9BTE6-3	NM_001136042.2
Q9SMZ4-2	NM_001160811.2
Q22397-2	NM_001129542.2
P00505-2	NM_001286220.1
Q9LH82-2	NM_001035712.1
Q9FN75-2	NM_121782.3
Q7Z5M8-2	NM_181814.1
Q96GS6-2	NM_031213.3
Q96GS6-2	XM_011528338.1
Q5VST6-2	NM_016014.3
Q5VST6-2	XM_006717134.3
Q5VST6-2	XM_017014787.1
Q8RWG1-2	NM_001036686.1
Q7XA72-2	NM_113460.3
Q93YS4-2	NM_001036766.2
Q8LPQ6-3	NM_001036637.2
Q9LK64-2	NM_180244.1
Q9ZU35-2	NM_179591.2
Q8LGU1-2	NM_113020.3
Q9FH76-2	NM_123902.3
Q9UH17-3	NM_001270411.1
Q8IUX4-3	NM_001006666.1
Q6NTF7-2	NM_001166002.2
Q6NTF7-3	NM_181773.4
Q8K440-2	XM_006533463.3
Q9BZC7-3	NM_001606.4
Q9BZC7-4	NM_212533.2
Q8K441-2	NM_001166556.1
O94911-1	NM_007168.3
Q86UK0-2	NM_015657.3
Q2M3G0-2	NM_001163942.1
Q2M3G0-3	NM_001163993.2
Q2M3G0-1	NM_178559.5
O75027-2	NM_004299.4
O75027-3	NM_001271697.1
Q9NP78-2	NM_019624.3
Q9NP78-5	NM_203444.3
Q9NP78-6	NM_001243014.1
Q9NP78-7	NM_001243013.1
Q09428-2	NM_001287174.1
Q09429-3	XM_008759320.2
O60706-2	NM_020297.3
O60706-2	XM_005253288.3
O60706-2	XM_011520545.2
P70170-2	NM_011511.2
P70170-2	XM_006506949.3
P70170-2	XM_006506950.3
P70170-2	XM_006506951.3
P70170-3	NM_021042.2
Q63563-2	NM_013040.2
P28288-3	NM_001122674.1
Q8NE71-2	NM_001090.2
Q9UG63-2	NM_005692.4
P45844-2	NM_207174.1
P45844-3	NM_207627.1
P45844-4	NM_016818.2
P45844-5	NM_207629.1
P45844-7	NM_207628.1
Q9UNQ0-2	NM_001257386.1
Q9H172-2	NM_001348192.1
Q9H172-3	XM_011542952.2
P58428-1	NM_130414.2
Q8N2K0-2	NM_015600.4
P29555-2	NM_001170161.2
P29555-2	NM_001260216.2
P29555-2	NM_057345.5
P09087-2	NM_001316542.1
P09087-2	NM_001316545.1
P09087-2	NM_142320.2
P09087-2	NM_169735.2
P09087-2	NM_169736.2
P09087-2	NM_206498.2
Q99J72-3	XM_017316806.1
H2KZ86-2	NM_182378.1
Q96SE0-3	XM_011533136.2
Q8R2Y0-2	NM_001331065.1
Q9NUJ1-3	NM_001272069.1
Q6PE15-2	NM_001272070.1
Q8NFV4-4	NM_148913.3
Q8NFV4-6	NM_001145364.2
Q96IU4-2	NM_001254753.1
O95870-2	NM_001177515.1
Q8IZP0-2	NM_001178121.1
Q8IZP0-3	NM_001012751.2
Q8IZP0-4	NM_001178120.1
Q8IZP0-5	NM_001012752.2
Q8IZP0-6	NM_001178119.1
Q8IZP0-7	NM_001178122.1
Q8IZP0-9	NM_001012750.2
Q8IZP0-10	NM_001178124.1
Q8IZP0-11	NM_001178125.1
Q8IZP0-12	NM_001178116.1
Q8CBW3-2	NM_001077192.3
Q8CBW3-4	NM_007380.4
Q8CBW3-5	NM_001077193.3
Q9NYB9-2	NM_005759.5
Q9NYB9-3	NM_001282927.1
Q9P2A4-2	NM_001135186.1
Q8BYZ1-2	NM_001163464.1
Q8BYZ1-2	XM_017314710.1
Q28G67-2	NM_001004966.1
Q28G67-2	XM_012964525.2
P03949-2	NM_077376.6
P03949-3	NM_077378.2
P00519-2	NM_007313.2
P00520-2	NM_001283046.1
P00520-3	NM_001283045.1
P00520-4	NM_001112703.2
P42684-2	XM_005245088.2
P42684-3	NM_005158.4
P42684-4	NM_001168239.1
P42684-5	NM_001168237.1
P42684-6	NM_001168236.1
P42684-7	NM_001168238.1
P42684-10	NM_001136000.2
P42684-8	NM_001136001.1
O14639-2	NM_001003407.1
O14639-3	NM_001322892.1
O14639-3	NM_001322893.1
O14639-4	NM_001322896.1
O14639-5	NM_006720.3
O14639-6	NM_001322882.1
Q8K4G5-2	NM_001103177.2
Q8K4G5-4	NM_001290815.1
Q6H8Q1-2	NM_001130085.1
Q6H8Q1-3	NM_001130087.1
Q6H8Q1-4	NM_001286688.1
Q6H8Q1-6	NM_001130088.1
Q6H8Q1-7	NM_001130086.1
Q6H8Q1-8	NM_032432.4
Q6H8Q1-9	NM_001130083.1
Q8BL65-2	NM_001177700.1
Q8BL65-3	NM_001177699.1
Q8BL65-4	NM_001177697.1
Q6KC51-2	NM_001001514.2
O94929-2	NM_001301028.2
O94929-3	NM_001345859.1
O94929-3	NM_001345861.1
Q24174-2	NM_001169481.2
Q24174-2	NM_001273450.1
Q24174-2	NM_057215.5
Q6UWZ7-2	NM_001345962.1
Q28HX0-2	XM_012964121.2
Q12979-2	NM_001092.4
Q12979-3	NM_001256847.2
Q12979-4	NM_001159746.2
Q12979-4	NM_001322840.1
Q5SSL4-2	NM_198018.2
Q5SSL4-3	NM_001291186.1
Q5SSL4-4	NM_001346670.1
A4II46-2	NM_001078845.1
Q1LVW0-2	XM_009300161.1
Q969K4-2	NM_032548.3
A6QL63-2	NM_001347943.1
A6QL63-5	NM_001017523.1
Q9VP76-2	NM_001259928.2
Q13085-2	NM_198837.1
Q13085-3	NM_198838.1
Q13085-3	XM_005257267.4
Q13085-3	XM_011524704.2
Q13085-4	NM_198834.2
Q5SWU9-2	XM_006531953.1
P11310-2	NM_001127328.2
P49748-2	NM_001033859.2
P49748-3	NM_001270447.1
Q8NC06-2	NM_001135705.2
Q8NC06-2	NM_024722.3
Q8NC06-2	XM_017025092.1
Q8NC06-3	NM_001135706.2
Q8NC06-3	NM_001321352.1
Q8NC06-3	NM_001321353.1
Q8NC06-3	XM_017025088.1
Q5T8D3-2	NM_001042473.3
Q5T8D3-3	NM_145698.4
Q5T8D3-4	NM_001301251.1
Q5T8D3-4	NM_001301252.1
Q5T8D3-4	NM_001301253.1
Q5XG73-2	NM_001102436.1
Q5XG73-3	NM_028793.3
A0FKI7-2	NM_001077635.1
Q9D061-2	NM_026683.1
Q9D061-3	NM_001145781.1
Q5FVE4-2	NM_001321384.1
Q5FVE4-3	NM_001289180.1
Q9STX1-2	NM_179101.3
Q9MA55-2	NM_202498.2
P07108-2	NM_001178042.2
P07108-2	NM_001282633.1
P07108-2	NM_001282634.1
P07108-2	NM_001282635.1
P07108-2	NM_020548.7
P07108-3	NM_001079863.1
P07108-4	NM_001178041.2
P07108-5	NM_001178017.1
Q9C5K7-2	NM_202045.3
Q8H1S4-2	NM_179271.2
Q9LSW7-2	NM_001085231.2
Q8S4Y1-2	NM_180823.3
Q6JQN1-5	NM_001136538.1
Q8LPS2-2	NM_179050.2
Q8LPS2-2	NM_179051.1
P45954-2	NM_001330174.1
Q96AP0-2	NM_022914.2
Q5EE38-3	NM_001348349.1
Q5EE38-3	XM_006531174.3
Q5EE38-3	XM_006531175.2
Q5EE38-3	XM_011248435.2
Q5QJU3-2	XM_017014694.1
Q8VD53-2	NM_001290541.1
O62763-2	XM_011290322.2
O62763-2	XM_019820220.1
O62763-2	XM_019820221.1
P22303-2	NM_001302621.1
P22303-3	NM_001282449.1
P12821-3	NM_152830.2
P12821-4	NM_001178057.1
P09470-2	NM_009598.2
Q9GLN7-2	XM_016930491.1
P12822-2	NM_001171069.1
Q9LTH7-2	NM_001037027.1
P25162-2	NM_170147.3
Q15822-2	NM_001282455.1
P32297-3	NM_001166694.1
Q2MKA5-2	NM_176844.4
Q15825-2	NM_001199279.1
P36544-2	NM_001190455.2
P02708-1	NM_001039523.2
Q8BMN3-2	NM_027454.4
P30926-2	NM_001256567.1
Q07001-2	NM_001256657.1
Q9UKV3-2	NM_001164816.1
Q9UKV3-3	NM_001164817.1
Q9UKV3-3	XM_005267418.1
Q9UKV3-5	NM_001164814.1
Q9JIX8-3	NM_001242605.1
Q9JIX8-3	XM_006519304.3
Q07912-3	NM_001010938.1
Q6P4H8-2	NM_001258388.1
Q16570-2	NM_001122951.2
Q9S7X6-2	NM_001085136.1
O96019-2	NM_177989.3
O96019-2	NM_178042.3
P53396-2	NM_198830.1
Q18007-2	NM_001029230.1
Q18007-3	NM_001029232.1
P16395-2	NM_166668.2
Q09388-2	NM_001027423.4
Q9U7D5-2	NM_001029064.3
Q8TDX5-2	NM_001307983.1
Q8TDX5-2	XM_005263588.4
Q8TDX5-2	XM_011510592.2
Q8TDX5-2	XM_017003325.1
Q8TDX5-2	XM_017003326.1
Q8WXI4-2	NM_147161.3
Q9NPJ3-2	NM_001160094.1
P34455-3	NM_066337.5
Q9QYR7-2	NM_001346701.1
Q3I5F7-2	NM_001037162.1
Q9Y305-3	NM_001330259.1
Q9Y305-4	NM_001037171.1
Q15067-2	NM_004035.6
Q15067-3	NM_001185039.1
Q9R0H0-2	NM_015729.3
O15254-2	NM_001101667.1
Q9NUZ1-2	XM_011511419.2
Q9NUZ1-4	NM_001142807.1
Q9DBS4-2	XM_011239808.1
Q94519-2	NM_057654.4
Q3V140-2	NM_001127340.1
Q6AY33-2	NM_001025049.1
Q9NUB1-2	NM_001252675.1
Q9NUB1-3	NM_001252676.1
Q9NUB1-4	NM_001252677.1
Q93ZG3-2	NM_001036021.1
Q9NR19-2	NM_001076552.2
Q96CM8-2	NM_001288968.1
Q96CM8-3	NM_001288969.1
Q96CM8-4	NM_001288971.1
Q96CM8-4	NM_001288972.1
Q4L235-2	NM_001286668.1
Q4L235-3	NM_001286672.1
Q4L235-4	NM_001286671.1
P33121-3	NM_001286710.1
O60488-2	NM_001318510.1
O60488-2	NM_004458.2
O60488-2	XM_006724635.2
Q9QUJ7-2	NM_001033600.1
Q9QUJ7-2	NM_019477.3
Q9QUJ7-2	XM_011247842.2
Q9QUJ7-2	XM_011247843.2
O35547-2	NM_053623.1
Q9ULC5-3	NM_016234.3
Q9UKU0-1	NM_001009185.2
Q9UKU0-3	NM_001205248.1
Q9UKU0-7	NM_001205251.1
Q9UKU0-8	NM_015256.3
Q9UKU0-9	NM_001205250.1
P33124-2	XM_006246224.3
Q8K0L3-2	NM_001177977.1
Q8K0L3-3	NM_001177978.1
Q53FZ2-2	NM_202000.2
Q6NUN0-2	NM_001324373.1
Q9H6R3-2	NM_001330243.1
Q14DH7-2	NM_198636.3
B9DGD6-2	NM_001344154.1
B9DGD6-2	NM_001344156.1
B9DGD6-2	NM_001344157.1
B9DGD6-2	NM_123046.4
P63267-2	NM_001199893.1
Q18008-2	NM_001313387.1
J3QPC3-2	NM_001290513.1
P05094-2	NM_204127.1
P12814-2	NM_001130005.1
P12814-3	NM_001130004.1
P35609-2	NM_001278343.1
P18091-3	NM_001272236.1
P18091-3	NM_001272237.1
P18091-3	NM_001272238.1
P18091-3	NM_058137.6
P18091-4	NM_001201603.2
P18091-4	NM_001201604.2
P18091-4	NM_166920.2
P18091-5	NM_058136.4
P36896-4	NM_020328.3
P36896-5	NM_020327.3
Q8NER5-2	NM_001111033.1
Q8NER5-3	NM_001111032.1
Q8NER5-4	NM_001111031.1
O62140-3	NM_001047184.2
Q03154-2	NM_001198896.1
Q03154-3	NM_001198897.1
Q03154-4	NM_001198898.1
O43184-2	NM_021641.4
O43184-3	NM_001288975.1
O43184-4	NM_001288974.1
Q13444-2	NM_003815.4
Q13444-3	NM_207196.2
Q13444-4	NM_207194.2
Q13444-5	NM_207195.2
Q13444-9	NM_001261465.1
Q13444-10	NM_207191.2
Q13444-12	NM_001261464.1
Q13444-13	NM_001261466.1
O88839-3	NM_009614.3
Q9QYV0-2	NM_020308.1
Q9VAC5-2	NM_143502.4
Q9Y3Q7-2	NM_001320313.1
Q9Y3Q7-3	NM_001190956.1
Q9H013-2	NM_033274.4
P35348-2	NM_033303.4
P35348-3	NM_033302.3
P35348-3	XM_006716293.3
P35348-4	NM_033304.3
P35348-6	NM_001322504.1
P35348-8	NM_001322503.1
P35348-9	NM_001322502.1
Q9P0K1-2	NM_021722.5
Q9P0K1-3	NM_004194.4
Q9P0K1-4	NM_021721.4
Q9R1V6-4	NM_001098225.2
Q9R1V6-6	NM_001310439.1
Q9R1V6-7	XM_006503537.3
Q9R1V6-8	XM_006503533.3
Q9R1V6-11	XM_006503530.3
Q9R1V6-12	XM_006503529.3
Q9R1V6-14	XM_006503531.3
Q9R1V6-15	XM_006503535.3
Q9R1V6-2	NM_001007221.3
Q9R1V6-1	NM_001007220.3
O75077-3	XM_005246932.3
Q9R1V7-2	XM_006495969.3
Q9R1V7-3	XM_006495970.3
Q9UKQ2-2	NM_021777.4
Q9JLN6-2	NM_183366.3
Q9JLN6-3	NM_001048175.2
Q9NZK5-2	NM_177405.2
Q8K410-2	NM_001293693.1
Q9BZ11-2	NM_153202.3
Q96M93-2	NM_001159285.1
Q96M93-2	XM_005262744.2
Q96M93-3	NM_001159295.1
Q8NCV1-2	NM_139174.3
Q6DHV7-2	NM_001012969.3
Q6DHV7-2	NM_001324364.1
Q6DHV7-2	NM_001324365.1
Q6DHV7-2	NM_001324368.1
Q6DHV7-3	NM_001159280.2
Q80SY6-2	NM_001290811.1
Q80SY6-4	XM_006500359.2
Q80SY6-4	XM_006500360.2
Q99965-2	NM_001278113.1
Q3TTE0-2	NM_001272058.1
Q3TTE0-3	NM_001272057.1
Q3TTE0-4	NM_001272059.1
P78325-2	NM_001164490.1
P78325-3	NM_001164489.1
O75689-2	NM_001284308.1
O75689-3	NM_001284309.1
O75689-3	NM_001284310.1
Q9NPF8-2	NM_001346714.1
Q9NII1-3	NM_166903.3
Q9BUB4-2	NM_001324444.1
Q9BUB4-2	NM_001324446.1
Q7Z6V5-2	NM_001286259.1
Q7Z6V5-2	XM_017010260.1
Q86TW2-2	NM_020421.3
Q86TW2-3	NM_001142545.1
O95622-2	NM_001199642.1
Q96PN6-2	NM_001297772.1
Q96PN6-4	NM_001167749.2
Q9U9K0-2	NM_001029468.2
Q9U9K0-3	NM_001029470.2
Q9U9K0-4	NM_001029471.1
P35611-2	NM_014190.3
P35611-2	XM_017007709.1
P35611-3	NM_014189.3
P35611-3	XM_017007704.1
P35611-4	NM_001286645.1
P35611-6	NM_176801.2
Q9QYC0-2	NM_001331087.1
Q9QYC0-2	NM_013457.4
P35612-2	NM_017482.3
P35612-3	NM_017488.3
P35612-9	NM_001185055.1
Q9QYB8-2	NM_001271860.1
Q9QYB8-2	NM_001271861.1
Q05764-2	NM_012491.2
Q9UEY8-2	NM_001121.3
Q9UEY8-2	NM_019903.4
Q9QYB5-2	NM_001164100.2
Q62847-2	NM_031552.2
O15204-2	NM_001145271.1
O15204-2	NM_001145272.1
Q07750-1	NM_071024.5
P05552-2	NM_165479.2
P05552-2	NM_165480.2
Q9ZSK3-2	NM_001345374.1
Q9ZSK3-2	NM_125382.2
P00325-2	NM_001286650.1
P08319-2	NM_001306171.1
P08319-2	NM_001306172.1
P28332-2	NM_001102470.1
P40394-2	NM_001166504.1
Q8LEB2-2	NM_001085150.1
Q8LEB2-2	NM_203102.2
Q17335-2	NM_001028845.3
Q9Y2D8-3	NM_001166294.1
Q9Y2D8-3	NM_001166295.1
Q9Y2D8-3	XM_006710331.1
Q9SF85-2	NM_202540.1
P55263-2	NM_001123.3
P55263-3	NM_001202450.1
P55263-4	NM_001202449.1
P55264-2	NM_001243041.1
Q8W420-2	NM_127448.2
Q9BRR6-2	NM_031284.4
Q9CQF6-2	NM_001326359.1
Q9U3D6-2	NM_059753.5
Q9U3D6-3	NM_182001.3
Q9U3D6-5	NM_182003.3
Q9FZ42-2	NM_104360.3
Q9VCY8-2	NM_170020.2
Q7K2G1-2	NM_001144190.2
Q7K2G1-2	NM_001144191.2
Q7K2G1-2	NM_001299468.1
P22570-6	NM_001258015.2
Q9GZN8-2	NM_001039140.2
Q96IZ2-2	NM_001143948.1
Q96IZ2-3	XM_011514956.1
Q26365-2	NM_001298161.1
Q26365-2	NM_078554.3
Q26365-2	NM_167248.2
P00257-2	NM_181011.2
Q9C9G6-2	NM_105502.2
Q6ZN18-2	NM_153207.4
Q6ZN18-3	NM_001267043.1
Q9Z248-2	NM_001005605.2
Q9Z248-2	XM_006506906.1
Q9Z248-3	NM_001309436.1
Q9Z248-3	NM_001309437.1
Q9Z248-3	XM_006506909.3
Q9Z248-4	NM_178803.2
Q9LPK7-2	NM_102002.2
Q84P17-2	NM_001084254.1
Q6UXC1-2	NM_206920.2
Q9CZI9-2	NM_001162939.1
P55197-1	NM_004641.3
P55197-2	NM_001195627.1
P55197-3	NM_001195628.1
P55197-3	NM_001195630.1
P55197-3	NM_001324296.1
Q8TED9-2	NM_001146337.2
Q8TED9-3	NM_001323063.1
Q8N4X5-2	NM_032550.3
Q5DTU0-2	NM_001177796.1
P42568-2	NM_001286691.1
P55196-3	NM_001207008.1
P55196-6	NM_001040000.2
Q8N556-2	NM_001134647.1
Q8N556-2	XM_011513544.2
P51825-2	NM_001166693.2
P51825-2	XM_005263007.3
P51825-2	XM_011531973.2
P51825-3	NM_001313959.1
P51816-2	NM_001169125.1
P51816-3	NM_001169122.1
P51816-5	NM_001169123.1
P51816-6	NM_001169124.1
P51816-7	NM_001170628.1
P51826-2	NM_001025108.1
P51826-2	XM_011511174.2
Q9VQI9-2	NM_001144300.2
Q9VQI9-2	NM_001144301.1
Q9VQI9-2	NM_001144302.2
Q9VQI9-2	NM_001273044.1
Q8NB90-2	XM_011531679.2
Q9BVQ7-2	NM_001323640.1
Q6ULP2-6	NM_017657.4
Q6ULP2-8	NM_001002243.2
Q80WT5-2	NM_181411.4
Q8RX86-2	NM_001036778.2
Q8VXZ7-2	NM_202718.2
Q9UPQ3-2	NM_014914.4
Q9UPQ3-3	NM_001244888.1
Q99490-2	NM_014770.3
Q3UHD9-2	NM_001301014.1
Q96P47-4	NM_031946.6
Q96P47-5	NM_001281300.1
Q96P47-6	NM_001042535.3
Q5VW22-2	NM_001077665.2
Q5VTM2-2	NM_001190810.1
O82171-2	NM_201874.2
Q8RXE7-2	NM_100741.4
Q8RXE7-3	NM_001035925.2
Q8H100-2	NM_001036581.1
Q94125-3	NM_001313559.1
P52594-2	NM_001135189.1
P52594-3	NM_001135188.1
P52594-4	NM_001135187.1
Q8K2K6-1	NM_010472.3
Q8K2K6-3	NM_001310713.1
Q38836-2	NM_179020.5
A2RVQ5-2	NM_001339845.1
Q9M2K8-2	NM_202721.1
Q9AT76-2	NM_202431.2
Q9AT76-3	NM_180648.3
Q9AT76-4	NM_180649.4
Q9FPN7-2	NM_001085329.1
P29383-2	NM_201682.3
P29383-3	NM_179599.2
Q9FIS1-2	NM_001203664.2
Q9FIS1-2	NM_001345528.1
P29385-2	NM_180046.2
Q9SA07-2	NM_102852.3
Q7X9I0-2	NM_001332367.1
Q9FLH5-2	NM_001085276.1
O95394-3	NM_001199919.1
O95394-4	NM_001199917.1
O04379-2	NM_001198240.1
O04379-2	NM_179453.3
Q9VUQ5-2	NM_168626.3
Q9UKV8-2	NM_001164623.2
Q7PLK0-2	NM_001170027.2
Q9H9G7-2	NM_177422.2
Q9H9G7-2	XM_017000524.1
Q9H9G7-2	XM_017000526.1
Q9FZA2-2	NM_001084147.1
P12285-2	XM_005096893.2
Q86SQ6-2	NM_001291085.1
O60241-2	NM_001294335.1
O60241-2	XM_017001900.1
O60241-4	NM_001294336.1
O60241-4	XM_017001905.1
Q8CGM1-2	NM_001199696.1
Q8CGM1-3	NM_173071.3
Q6QNK2-4	NM_001330497.1
Q14246-2	NM_001256253.1
Q14246-3	NM_001256252.1
Q14246-4	NM_001256255.1
Q14246-5	NM_001256254.1
Q9UHX3-6	NM_001271052.1
Q9BY15-2	NM_001289158.1
P48960-2	NM_001784.4
P48960-3	NM_001025160.2
Q5T601-2	NM_025048.3
Q8IZF5-2	NM_153835.3
Q8IZF5-3	NM_001145169.1
Q9Y653-2	NM_001145770.2
Q9Y653-2	NM_001145772.2
Q9Y653-2	NM_001145774.2
Q9Y653-2	NM_201524.3
Q9Y653-2	NM_201525.3
Q9Y653-2	XM_005256255.2
Q9Y653-2	XM_017023892.1
Q9Y653-3	NM_001145773.2
Q9Y653-3	XM_006721347.2
Q9Y653-4	NM_001290142.1
Q9Y653-5	NM_001290143.1
Q8IZP9-2	NM_005756.3
Q8IZP9-3	NM_001184833.1
Q8IZP9-4	NM_001079859.2
Q8IZP9-5	NM_001184836.1
Q8IZP9-6	NM_001079860.2
Q8IZP9-7	NM_001184837.1
Q8IZP9-8	NM_001184835.1
Q8IZP9-9	NM_001184834.1
Q8CJ12-2	NM_001290446.1
Q8CJ12-3	NM_001079857.2
Q8CJ12-4	NM_001290445.1
Q8CJ12-5	NM_001079848.2
Q8CJ11-2	NM_001270872.1
Q8CJ11-3	NM_001270871.1
Q3V3Z3-2	NM_001033468.3
Q3V3Z3-2	XM_011248422.1
Q86SQ4-2	NM_001032394.2
Q86SQ4-3	NM_198569.2
Q86SQ4-4	NM_001032395.2
O00468-3	XM_005244749.3
O00468-6	NM_198576.3
O97831-2	XM_005208626.3
O94910-2	NM_014921.4
Q80TR1-2	XM_006531127.2
Q80TR1-2	XM_006531128.2
O88917-4	NM_022962.1
O95490-2	NM_001297704.1
O95490-2	NM_012302.3
O95490-3	NM_001297706.1
O95490-4	NM_001297705.1
O95490-5	NM_001330645.1
Q9HAR2-2	NM_001322246.1
Q9HAR2-4	NM_015236.5
Q80TS3-2	XM_011249471.2
Q80TS3-3	NM_198702.2
Q80TS3-3	XM_011249465.2
Q80TS3-5	NM_001347369.1
P09139-2	NM_001276706.1
Q9BYV1-2	NM_001306173.1
Q9BYV1-2	XM_017009748.1
Q8N157-2	NM_001134832.1
Q8N157-2	XM_017010984.1
Q9C5U0-2	NM_001335080.1
Q9C5U0-2	NM_001335082.1
Q9C5U0-2	NM_126244.3
Q9C5U0-2	NM_201667.1
Q09666-2	NM_024060.3
Q9ZNV8-2	NM_180318.2
O44712-2	NM_001025866.3
Q8N9S3-2	NM_001290654.1
